,ENGIE Vianeo La Galande,Aire de Galande la Mare Laroche A5b,Réau,77550,33 9 69 37 60 09,https://www.engie-vianeo.com/,communication.vianeo@engie.com,Yes,"Additional information: the chargers are publicly accessible 24/7. The following payment methods are accepted: Card Engie Vianeo x Bump, Credit card, web payment, roaming charging cards. The following facilities are available: Shops, restaurants, toilets, showers, laundry machine, Wi-Fi, inflation station for trucks, truck parking.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,1 Available,,Open 24/7,,,,
,ENGIE Vianeo Achères Est,"Aire d'Achères-Est, A6",Achères-la-Forêt,77760,33 9 69 37 60 09,https://www.engie-vianeo.com/,support.vianeo@engie.com,Yes,"Additional information: the chargers are publicly accessible 24/7. The following payment methods are accepted: Card Engie Vianeo x Bump, Credit card, web payment, roaming charging cards. The following facilities are available: Shops, restaurants, toilets, showers, laundry machine, Wi-Fi, inflation station for trucks, truck parking.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,1 Available,,Open 24/7,,,,
,ENGIE Vianeo Venoy Soleil Levant,A. du Soleil,Venoy,89290,33 3 86 94 14 39,https://www.engie-vianeo.com/,clementine.guilbaud@engie.com,Yes,"Additional information: the chargers are publicly accessible 24/7. The following payment methods are accepted: Card Engie Vianeo x Bump, Credit card, web payment, roaming charging cards. The following facilities are available: Shops, restaurants, toilets, showers, laundry machine, Wi-Fi, inflation station for trucks, truck parking.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,1 Available,,Open 24/7,,,,
,OREVE Durtal,6 BIS rue Joseph Cugnot,Durtal,49430,33 800 00 17 27,https://oreve.com/,contact@oreve.com,Yes,"Additional info: Location has CCTV, lightning, fenced, WiFi, Toilet (24h) present. Plug type: CCS2. Payment method: charging cards/ electronic payment terminals / App. There is a beverage vending machine, picnic and rest area present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,OREVE Avoine,1 Rue Denis Papin,Avoine,37420,33 800 00 17 27,https://oreve.com/,contact@oreve.com,Yes,"Additional info: Location has CCTV, lightning, fenced, WiFi, Toilet (24h) present. Plug type: CCS2. Payment method: charging cards/ electronic payment terminals / App. There is a beverage vending machine, picnic and rest area present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ENGIE Vianeo La Forêt,A6 Highway,Bligny-sur-Ouche,21360,-,https://www.engie-vianeo.com/,support.vianeo@engie.com,Yes,"Additional information: the chargers are publicly accessible 24/7. The following payment methods are accepted: Card Engie Vianeo x Bump, Credit card, web payment, roaming charging cards. The following facilities are available: Shops, restaurants, toilets, showers, laundry machine, Wi-Fi, inflation station for trucks, truck parking.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,1 Available,,Open 24/7,,,,
,ENGIE Vianeo Beaune Merceuil,A6 highway (from Lyon to Paris),Merceuil,21190,-,https://www.engie-vianeo.com/,clementine.guilbaud@engie.com,Yes,"Additional information: the chargers are publicly accessible 24/7. The following payment methods are accepted: Card Engie Vianeo x Bump, Credit card, web payment, roaming charging cards. The following facilities are available: Shops, restaurants, toilets, showers, laundry machine, Wi-Fi, inflation station for trucks, truck parking.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,1 Available,,Open 24/7,,,,
,OBORNES Venissieux,Rue Eugène Henaff 38,Vénissieux,69200,33 4 82 29 03 16,https://ortec-group.com/agences/ortec-environnement-lyon/,floriane.lassallemassip@ortec.fr,Yes,"Additional info: Location has CCTV, lightning, WiFi, Toilet (24h) present. Plug type: CCS2. Payment method: charging cards/ electronic payment terminals / App. There is a beverage vending machine, picnic and rest area present at location. NoTE! Location opens in March!",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,OREVE Pierrelatte,Rue Jacques Monod 2,Pierrelatte,26700,-,https://oreve.com/,contact@oreve.com,Yes,"Additional info: Location has CCTV, lightning, WiFi, Toilet (24h) present. Plug type: CCS2. Payment method: charging cards/ electronic payment terminals / App. There is a beverage vending machine, picnic and rest area present at location. NoTE! Location opens in March!",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,Watt'up Truck - Brive,153 Rue des Levades,Saint-Pantaléon-de-Larche,19600,-,https://www.wattev.com/,info@wattev.com,Yes,"Additional information: Type of plugs is CCS2. Payment method: Token + App + QR code. Open 24h/7. There is also a petrolstation at the same site present. CCTV, lightning, parking, acceptance of running refridegrated trailers, electric charging available for refridegerated trailers, ADR present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,Total Energies- Relais Des Palombieres,A89 Bordeaux Clermont Ferrand,Gours,33660,33 0553828540,https://locator.totalenergies.com/NF080372?type=FUELING,darren.lesinski@totalenergies.com,Yes,"Additional information: The chargers are publicly accessible 24/7. The following payment methods are accepted: bank cards, RFID, MSP cards. The facilities available: toilet, parking, restaurant, wifi and a shop.",No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,Open 24/7,,,,
,Watt'up Truck - Bordeaux,10 Av. des 3 Cardinaux,Bordeaux,33300,31 6 15113734,https://waat.fr/,contact@waat.fr,Yes,"Additional information: Type of plug is CCS2. Payment method: Token + App + QR code. Open 24h/7. There is also a petrolstation at the same site present. CCTV, lightning, parking, acceptance of running refridegrated trailers, electric charging available for refridegerated trailers, ADR present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,Milence Charging Hub Perpignan,2555 Av. Julien Panchot,Perpignan,66000,31 85 052 0134,https://milence.com/,info@milence.com,Yes,"Additional information: One charging station has two outlets one for each parking bay. Publicly open 24/7. Payment methods: Milence Official App, eMSP card or app. To access charging hub, exit the A9 highway on the D83 road, then take exit 1 and merge on the D900. Continue on Rocade O. Maximum height of 4.6 meters. Location is fenced, CCTV , lightning present, shower & toilet available 24/7, dining, parking. No access to passenger cars, diesel trucks, or ADR.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,OREVE Pardies,14 Chemin Départemental,Pardies,64150,33 800 00 17 27,https://oreve.com/reseau-oreve/station-pardies/,contact@oreve.com,Yes,"Additional info: Location has CCTV, lightning, fenced, WiFi, Toilet (24h) present. Plug type: CCS2. Payment method: charging cards/ electronic payment terminals / App. There is a beverage vending machine, picnic and rest area present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,Welch's Transport Ltd. - Duxford,Moorfield Rd,Cambridge,CB22 4PS,44 1223 843011,https://welchgroup.co.uk/,hello@welchgroup.co.uk,Yes,"Additional info: Location is fenced, CCTV & lighting at night present. WiFi, Shower & toilet (24h), present. Parking possible at location. Acceptance of running refrigerated trailers & ADR. NoTE: Important to kNow that drivers would need an account with us before first use, this may change soon in the near future. Payment method: Pay by invoice.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,Voltloader Peterborough South East,"Voltloader, Ashley Industrial Estate, Station Rd",Whittlesey,PE7 2EX,44 7956 881855,https://voltloader.com/,info@voltloader.com,Yes,"Availability: 6 AM - 6 PM (overnight stay possible by appointment). Payment method: Company invoice. Additional information: £0.45 (ex. VAT) per kWh. Type of plug: CCS. For first time users of the site, please call ahead - Steve at 07917696885. Facilities: Toilet, Tea+Coffee.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,Monday,06:00 - 18:00,Monday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,06:00 - 18:00,Tuesday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,06:00 - 18:00,Wednesday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,06:00 - 18:00,Thursday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,06:00 - 18:00,Friday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,06:00 - 18:00,Saturday,06:00 - 18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,06:00 - 18:00,Sunday,06:00 - 18:00
,Shell Markham Moor,A1 Northbound Carriageway,Markham,DN22 0QU,44 1777 838020,https://find.shell.com/gb/fuel/10019350-shell-little-waitrose-markham-moor/en_GB,groupmediauk@shell.com,Yes,"Additional information: the chargers are publicly accessible 24/7. You can pay with your Shell card. The following facilities are available: Toilets, Little Waitrose (Food), Coffee.",No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,1 Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,
,Aral pulse Ladestation Bockenem,Oppelner Straße 1,Bockenem,31167,49 800 1353511,https://www.aral.de/de/global/retail/pulse.html,info@aral.de,Yes,Additional information: Available 24/7. Payment method: App/charging card/credit card. Facilities: Aral Store.,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,Open 24/7,,,,
,ZUNDER Luz shopping - Jerez,Parking del CC Luz Shopping,Frontera,11408,34 956 35 74 40,https://www.luzshopping.com/es/,informaciones@luzshopping.com,Yes,"Additional information: Available 24/7. Payment method: Credit card + Zunder RFID. IMPORTANT! Trucks must enter by loading docks. At the end of the road on the left, there is a gas station. They have to go in and then, turn left again to the Parking Shopping Centre.",No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,1 Available,,,,,,,Open 24/7,,,,
,Parking El Cuervo - Jumanova Inversiones S.L,"Los Tollos, SE-692 Ctra El Cuervo",El Cuervo de Sevilla,41749,34 662 00 39 34,https://www.parkingelcuervo.com/,info@parkingelcuervo.com,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Obramat - Alcalá de Guadaira,"C. Constancia, 41500 Alcalá de Guadaíra",Sevilla,41500,34 955 62 05 01,https://www.obramat.es/almacenes/obramat-alcala-de-guadaira.html,,Yes,,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Obramat - Bormujos,Blvr. Hacienda Valencinilla del Hoyo,Sevilla,41930,34 954 98 30 30,https://www.obramat.es/almacenes/obramat-bormujos.html,,Yes,,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Hotel Mirasierra - Baza,A-92 KM.322,Baza,18860,34 858 99 78 40,https://guias-viajes.com/spain/baza/hotel-mirasierra/,,Yes,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER A66 km723 - Monesterio,"C. de los Agricultores, 1, 06260 Monesterio",Badajoz,06260,34 979 30 05 00,https://www.zunder.com/,,Yes,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Hotel Romero - Mérida,A-66,Mérida,06800,671 68 24 58,-,director@hotelromero.com,Yes,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Área Autocaravanas - Lobón,,Lobón,06498,,,,Yes,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,"Repsol ES, E.S. Massalavés M.D","CR. A-7 PK 379,5 M.D. Dir Valencia",Massalavés,46292,34 962 44 17 85,https://www.repsol.es/buscador-eess-y-puntos-de-recarga/valencia/masalaves/cr-a-7-pk-3795-md/,saceess@repsol.com,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,1 Available,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Sedaví - Valencia,V-31,Sedaví,46910,34 979 30 05 00,,,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER GALP Dir. Castellón - Torrent,AP-7,Torrent,46900,34 979 30 05 00,https://www.zunder.com/,info@zunder.com,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER La Estrella - Castillejo de Iniesta,"Autovía del Este, Pk 224",Castillejo de Iniesta,16250,,https://www.google.com/,,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER GALP Dir. Madrid - Villargordo del Cabriel,"GALP, 46317 Villargordo del Cabriel",Valencia,15707,34 962 18 61 95,https://galp.com/es/mapa/E0584,atencionalcliente@galp.com,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Exit - La Gineta,"Autovía de Alicante, Km 52",La Gineta,02110,34 647 36 27 66,http://www.restaurantesexit.com/cgi-bin/restaurantes-exit-contactanos.asp?area=central,info@restaurantesexit.com,Yes,Additional information: 24/7 available. Payment method: Credit car + Zunder RFID.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Restaurante Juanito - La Roda,"Km. 209, N-301",La Roda,02630,34 967 44 15 12,https://www.guiagps.com/seleccion/restaurante-juanito/,info@guiagps.com,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID. Currently only with batteries supply.,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,Open 24/7,,,,
,ZUNDER La Gaviota - Tarazona de la Mancha,Av. Albacete 35,Tarazona de la Mancha,02100,,,,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Venta del Tizón - Manzanares,A-4 KM 167,Ciudad Real,13200,34 673 16 39 80,,,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER A43 km 30 - Daimiel,Avenida de la Energía,Ciudad Real,13250,34 979 30 05 00,https://www.zunder.com/,,Yes,,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Hostal Rte. Portugal II - Almaraz,Autovía del Suroeste km,Almaraz,10350,,,,Yes,Additional information: Available 24/7. Payment method: Credit cards + ZUNDER RFID. Important Note! There are only 4 parking spots. Driver needs to look on arrival which spot fits best for charge point (left/right).,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Tejares Nave aparcamientos- Salamanca,Av. Juan Pablo II 126,Salamanca,37008,,,,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID.,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Mercasa Getafe - Getafe,Av. Juan Carlos I 1,Getafe,28905,,,,Yes,Additional information: Available 24/7. Payment method: Credit card + ZUNDER RFID,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER CTM - Madrid,Av. Villa de Vallecas,Vallecas,28053,34 915 07 12 00,http://www.ctm.es/,ctm@ctm-madrid.com,Yes,Additional information: available 24/7. Payment method: credit card + Zunder RFID. Currently only with batteries supply.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,"ZUNDER Ensanche de Vallecas, Madrid","Polígono Vallecas, Ctra. Villaverde a Vallecas, 267A, Vallecas",Madrid,28031,34 911 74 85 44,https://www.saltoki.com/,atencionalcliente@saltoki.com,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER M45 km 20 - Vicálvaro,"C. las Santeras, 45, Vicálvaro",Madrid,28052,,,,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER GALP - Alovera,"Con A-2, GU-105, Pk 48 000,",Alovera,19208,34 949 29 73 68,https://galp.com/es/mapa/E1151,atencionalcliente@galp.com,Yes,Additional information: Available 24/7. Payment method: Credit card + ZUNDER RFID,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Exit - La Aldea,EXIT Área de servicio,L'Aldea,43896,34 647 36 33 82,http://www.restaurantesexit.com/,info@restaurantesexit.com,Yes,"Additional information: Available 24/7. Restaurant present at location. Payment method: Credit card, Zunder RFID",No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Area 507 - Outeiro de rei,Rúa E,Outeiro de Rei,21750,34 982 39 32 76,https://www.areadeservicio507.es/,,Yes,"Additional information: 24/7 avialable. Payment method: Credit card + ZUNDER RFID. Current access possible only by maNoeuvreing. With the upcoming reform, No need for maNoeuvres.",No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Avia - Tapia de Casariego,Pol. Ind. El Cortaficio 18,Tapia de Casariego,33748,34 985 62 84 12,http://www.aviaenergias.es/,avia@aviaenergias.es,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Pantera Rosa,"C/ Luis Ortiz Berrocal, 71, 33204 Gijón",Asturias,33204,,,,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Langreo,"C. Dolores Ibárruri ""Pasionaria""",Langreo,33900,34 979 30 05 00,https://www.zunder.com/,help@zunder.com,Yes,Additional information: Available 24/7. Payment method: Credit card + ZUNDER RFID,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Hotel Meleiros - Castro de Sanabria,"Hotel Meleiros, Co, C. Bo. Nuevo",Zamora,49396,,,,Yes,"Additional information: Charger soon to be installed. When installed, available 24/7. Payment method: Credit card + Zunder RFID",No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER El Raso - Villalpando,Cam. de los Gallegos,Zamora,49630,,,,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Restaurante Ruta 62 - Tordesillas,"VA-VP-5804, 74, 47132 Tordesillas, Valladolid",Tordesillas,47132,34 983 48 32 94,https://restauranteruta62.es/,info@restauranteruta62.es,Yes,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER Parking Simancas - Simancas,"C. Miravete, 3, 47130 Simancas",Valladolid,47130,,,,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,ZUNDER CC. Parque Laguna - Laguna de Duero,C. Nogal 39,Valladolid,47140,34 983 54 49 16,,,Yes,Additional information: Available 24/7. Payment method: Credit cards + ZUNDER RFID. Important Note: It's a Shopping Centre. It depends on the volume of traffic inside. Trucks must enter by loading docks. Alternative: Mercadolid Station,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Mercaolid - Valladolid,Av. del Euro 24,Valladolid,47009,,,,Yes,Additional information: Available 24/7. Payment method: Credit card + Zunder RFID.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
,ZUNDER Area El Canto - Torquemada,Autovía de Castill,Torquemada,34230,34 979 30 05 00,https://www.zunder.com/,,Yes,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,,1 Available,,,,,,,Open 24/7,,,,
